month,revenue,running_total,previous_revenue,mom_growth
2016-09,134.97,134.97,NULL,NULL
2016-10,40325.11,40460.08,134.97,29777.09
2016-12,10.90,40470.98,40325.11,-99.97
2017-01,111798.36,152269.34,10.90,1025573.03
2017-02,234223.40,386492.74,111798.36,109.51
2017-03,359198.85,745691.59,234223.40,53.36
2017-04,340669.68,1086361.27,359198.85,-5.16
2017-05,489338.25,1575699.52,340669.68,43.64
2017-06,421923.37,1997622.89,489338.25,-13.78
2017-07,481604.52,2479227.41,421923.37,14.15
2017-08,554699.70,3033927.11,481604.52,15.18
2017-09,607399.67,3641326.78,554699.70,9.50
2017-10,648247.65,4289574.43,607399.67,6.73
2017-11,987765.37,5277339.80,648247.65,52.37
2017-12,726033.19,6003372.99,987765.37,-26.50
2018-01,924645.00,6928017.99,726033.19,27.36
2018-02,826437.13,7754455.12,924645.00,-10.62
2018-03,953356.25,8707811.37,826437.13,15.36
2018-04,973534.09,9681345.46,953356.25,2.12
2018-05,977544.69,10658890.15,973534.09,0.41
2018-06,856077.86,11514968.01,977544.69,-12.43
2018-07,867953.46,12382921.47,856077.86,1.39
2018-08,838576.64,13221498.11,867953.46,-3.38
