seller_id,orders_count,items_sold,gross_revenue,delivered_orders,on_time_deliveries,seller_id,avg_review_score
6560211a19b47992c3666cc44a7e94c0,1854,2033,123304.83,1996,1872,6560211a19b47992c3666cc44a7e94c0,3.91
4a3ca9315b744ce9f8e9374361493884,1806,1987,200472.92,1949,1735,4a3ca9315b744ce9f8e9374361493884,3.80
cc419e0650a3c5ba77189a1882b7556a,1706,1775,104288.42,1719,1616,cc419e0650a3c5ba77189a1882b7556a,4.07
1f50f920176fa81dab994f9023523100,1404,1931,106939.21,1926,1744,1f50f920176fa81dab994f9023523100,3.98
da8622b14eb17ae2831f4ac5b9dab84a,1314,1551,160236.57,1548,1435,da8622b14eb17ae2831f4ac5b9dab84a,4.07
955fee9216a65b617aa5c0531780ce60,1287,1499,135171.70,1472,1353,955fee9216a65b617aa5c0531780ce60,4.05
7a67c85e85bb2ce8582c35f2203ad736,1160,1171,141745.53,1155,1087,7a67c85e85bb2ce8582c35f2203ad736,4.23
ea8482cd71df3c1969d7b9473ff13abc,1146,1203,37177.52,1188,1065,ea8482cd71df3c1969d7b9473ff13abc,3.95
4869f7a5dfa277a7dca6462dcf3b52b2,1132,1156,229472.63,1148,1015,4869f7a5dfa277a7dca6462dcf3b52b2,4.12
3d871de0142ce09b7081e2b9d1733cb1,1080,1147,94914.20,1131,1064,3d871de0142ce09b7081e2b9d1733cb1,4.11
7c67e1448b00f6e969d365cea6b010ab,982,1364,187923.89,1355,1225,7c67e1448b00f6e969d365cea6b010ab,3.35
8b321bb669392f5163d04c59e235e066,943,1018,17535.69,1005,902,8b321bb669392f5163d04c59e235e066,4.00
1025f0e2d44d7041d6cf58b6550e0bfa,915,1428,138968.55,1420,1289,1025f0e2d44d7041d6cf58b6550e0bfa,3.85
620c87c171fb2a6dd6e8bb4dec959fc6,740,798,114774.50,778,704,620c87c171fb2a6dd6e8bb4dec959fc6,4.22
a1043bafd471dff536d0c462352beb48,718,770,101901.16,752,710,a1043bafd471dff536d0c462352beb48,4.19
cca3071e3e9bb7d12640c9fbe2301306,712,830,64009.89,817,773,cca3071e3e9bb7d12640c9fbe2301306,3.85
f8db351d8c4c4c22c6835c19a46f01b0,667,724,50525.60,714,672,f8db351d8c4c4c22c6835c19a46f01b0,4.22
e9779976487b77c6d4ac45f75ec7afe9,657,750,43162.95,738,683,e9779976487b77c6d4ac45f75ec7afe9,4.17
fa1c13f2614d7b5c4749cbc52fecda94,585,586,194042.03,579,520,fa1c13f2614d7b5c4749cbc52fecda94,4.34
7d13fca15225358621be4086e1eb0964,565,578,113628.97,571,503,7d13fca15225358621be4086e1eb0964,4.00
d91fb3b7d041e83b64a00a3edfb37e4f,535,536,40889.74,525,492,d91fb3b7d041e83b64a00a3edfb37e4f,4.10
128639473a139ac0f3e5f5ade55873a5,533,560,11908.85,554,519,128639473a139ac0f3e5f5ade55873a5,4.18
391fc6631aebcf3004804e51b40bcf1e,526,613,39951.95,605,547,391fc6631aebcf3004804e51b40bcf1e,3.95
d2374cbcbb3ca4ab1086534108cc3ab7,524,631,21223.92,620,587,d2374cbcbb3ca4ab1086534108cc3ab7,3.64
46dc3b2cc0980fb8ec44634e21d2718e,521,542,128111.19,523,490,46dc3b2cc0980fb8ec44634e21d2718e,4.18
85d9eb9ddc5d00ca9336a2219c97bb13,509,522,15415.24,512,494,85d9eb9ddc5d00ca9336a2219c97bb13,4.17
53e4c6e0f4312d4d2107a8c9cddf45cd,473,522,30148.95,512,485,53e4c6e0f4312d4d2107a8c9cddf45cd,4.05
1835b56ce799e6a4dc4eddc053f04066,423,558,33344.21,551,493,1835b56ce799e6a4dc4eddc053f04066,3.59
4e922959ae960d389249c378d1c939f5,420,454,46030.37,446,398,4e922959ae960d389249c378d1c939f5,3.90
1900267e848ceeba8fa32d80c1a5f5a8,411,529,24982.53,523,471,1900267e848ceeba8fa32d80c1a5f5a8,3.85
dbc22125167c298ef99da25668e1011f,406,429,33776.78,417,407,dbc22125167c298ef99da25668e1011f,4.23
16090f2ca825584b5a147ab24aa30c86,402,410,25716.44,406,362,16090f2ca825584b5a147ab24aa30c86,4.04
9f505651f4a6abe901a56cdc21508025,397,430,26361.82,426,406,9f505651f4a6abe901a56cdc21508025,4.28
2138ccb85b11a4ec1e37afbd1c8eda1f,396,429,12357.03,419,396,2138ccb85b11a4ec1e37afbd1c8eda1f,3.90
06a2c3af7b3aee5d69171b0e14f0ee87,392,405,36408.95,402,307,06a2c3af7b3aee5d69171b0e14f0ee87,4.00
218d46b86c1881d022bce9c68a7d4b15,388,427,55093.28,420,382,218d46b86c1881d022bce9c68a7d4b15,4.14
8581055ce74af1daba164fdbd55a40de,387,435,64925.30,427,384,8581055ce74af1daba164fdbd55a40de,4.23
8160255418d5aaa7dbdc9f4c64ebda44,385,431,47017.69,424,348,8160255418d5aaa7dbdc9f4c64ebda44,3.84
4d6d651bd7684af3fffabd5f08d12e5a,369,395,43587.40,389,371,4d6d651bd7684af3fffabd5f08d12e5a,4.18
53243585a1d6dc2643021fd1853d8905,358,410,222776.05,400,384,53243585a1d6dc2643021fd1853d8905,4.08
c826c40d7b19f62a09e2d7c5e7295ee2,354,373,45643.74,365,332,c826c40d7b19f62a09e2d7c5e7295ee2,4.04
92eb0f42c21942b6552362b9b114707d,341,365,6548.63,358,331,92eb0f42c21942b6552362b9b114707d,3.93
de722cd6dad950a92b7d4f82673f8833,339,379,55426.10,377,362,de722cd6dad950a92b7d4f82673f8833,4.16
7299e27ed73d2ad986de7f7c77d919fa,338,361,34725.43,358,341,7299e27ed73d2ad986de7f7c77d919fa,4.42
b2ba3715d723d245138f291a6fe42594,337,363,51676.88,350,320,b2ba3715d723d245138f291a6fe42594,4.11
7e93a43ef30c4f03f38b393420bc753a,336,340,176431.87,322,304,7e93a43ef30c4f03f38b393420bc753a,4.21
7ddcbb64b5bc1ef36ca8c151f6ec77df,334,343,55578.57,334,306,7ddcbb64b5bc1ef36ca8c151f6ec77df,3.90
5dceca129747e92ff8ef7a997dc4f8ca,325,346,112155.53,343,323,5dceca129747e92ff8ef7a997dc4f8ca,3.99
ef506c96320abeedfb894c34db06f478,324,340,9771.43,332,303,ef506c96320abeedfb894c34db06f478,3.90
77530e9772f57a62c906e1c21538ab82,320,389,46610.40,381,337,77530e9772f57a62c906e1c21538ab82,4.05
7142540dd4c91e2237acb7e911c4eba2,319,331,37373.56,328,302,7142540dd4c91e2237acb7e911c4eba2,4.04
897060da8b9a21f655304d50fd935913,317,430,23023.92,413,363,897060da8b9a21f655304d50fd935913,3.40
70a12e78e608ac31179aea7f8422044b,315,328,30858.53,323,288,70a12e78e608ac31179aea7f8422044b,3.77
855668e0971d4dfd7bef1b6a4133b41b,312,327,32208.16,311,268,855668e0971d4dfd7bef1b6a4133b41b,3.73
fa40cc5b934574b62717c68f3d678b6d,307,340,16055.87,337,317,fa40cc5b934574b62717c68f3d678b6d,4.43
87142160b41353c4e5fca2360caf6f92,305,339,31095.98,339,320,87142160b41353c4e5fca2360caf6f92,4.37
fe2032dab1a61af8794248c8196565c9,294,306,65959.61,305,279,fe2032dab1a61af8794248c8196565c9,4.38
c3cfdc648177fdbbbb35635a37472c53,278,307,43048.18,307,300,c3cfdc648177fdbbbb35635a37472c53,4.45
37be5a7c751166fbc5f8ccba4119e043,272,281,55350.55,278,271,37be5a7c751166fbc5f8ccba4119e043,4.30
634964b17796e64304cadf1ad3050fb7,268,326,39465.10,323,292,634964b17796e64304cadf1ad3050fb7,3.86
1da3aeb70d7989d1e6d9b0e887f97c23,265,328,8823.52,324,308,1da3aeb70d7989d1e6d9b0e887f97c23,4.07
4c2b230173bb36f9b240f2b8ac11786e,261,346,14592.27,343,312,4c2b230173bb36f9b240f2b8ac11786e,3.76
c70c1b0d8ca86052f45a432a38b73958,261,338,36537.37,336,309,c70c1b0d8ca86052f45a432a38b73958,4.30
562fc2f2c2863ab7e79a9e4388a58a14,260,270,8814.20,265,256,562fc2f2c2863ab7e79a9e4388a58a14,4.24
17e34d8224d27a541263c4c64b11a56b,255,268,56363.24,260,239,17e34d8224d27a541263c4c64b11a56b,4.14
a3a38f4affed601eb87a97788c949667,254,263,26533.32,260,248,a3a38f4affed601eb87a97788c949667,4.39
